date,cause,source,location,substance,volume,volume_units
12/13/2005,Equipment Failure,Water Pipeline,Red Deer,Fresh Water,70,m3
5/6/2004,Equipment Failure,Water Pipeline,RED DEER,Fresh Water,80,m3
3/24/2004,Equipment Failure,Compressor Station,RED DEER,Condensate,1,m3
3/28/2004,Equipment Failure,Compressor Station,RED DEER,Gas Production (Raw),0.1,103m3
8/1/2006,Equipment Failure,Water Pipeline,Red Deer,Fresh Water,100,m3
6/10/2004,Operator Error,Multiphase Pipeline,RED DEER,Crude Oil,3,m3
3/28/2005,Operator Error,Crude Oil Group Battery,Red Deer,Crude Oil,6,m3
12/31/2010,Equipment Failure,Water Pipeline,Red Deer,Fresh Water,100,m3
11/7/2009,Equipment Failure,Service Well,Red Deer,Fresh Water,20.5,m3
11/29/2012,Equipment Failure,Water Pipeline,Red Deer,Fresh Water,2,m3
5/8/2007,Equipment Failure,Water Pipeline,Red Deer,Fresh Water,1,m3
9/12/2006,Equipment Failure,Water Pipeline,Red Deer,Fresh Water,100,m3
9/6/2006,Equipment Failure,Crude Oil Group Battery,Red Deer,Fresh Water,5,m3
8/13/2011,Equipment Failure,Crude Oil Group Battery,Red Deer,Crude Oil,0.4,m3
12/31/2003,Equipment Failure,Gas Plnt Acid Gas Flr/Inj,RED DEER,Gas Production (Raw),0.1,103m3
4/3/2007,Equipment Failure,Gas Proration Effluent Ba,Red Deer,Gas Production (Raw),0.1,103m3
10/15/2009,Equipment Failure,Gas Proration Effluent Ba,Red Deer,Salt/Produced Water,35,m3
9/13/2003,Equipment Failure,Gas Proration Effluent Ba,RED DEER,Gas Production (Raw),0.1,103m3
8/8/2004,Operator Error,Drilling Well,RED DEER,Drilling Mud (HC Based),0.1,m3
3/3/2004,Operator Error,Drilling Well,RED DEER,Drilling Mud (HC Based),4.5,m3
7/28/2003,Equipment Failure,Sweet Drilling Well,RED DEER,Drilling Mud (HC Based),1.5,m3
1/20/2011,Equipment Failure,Oil Well,Wainwright,Crude Oil,5,m3
4/25/2007,Equipment Failure,Crude Oil Group Battery,Wainwright,Salt/Produced Water,34,m3
1/7/2007,Equipment Failure,Crude Oil Group Battery,Wainwright,Gas Production (Raw),0.1,103m3
6/24/2007,Operator Error,Crude Oil Group Battery,Wainwright,Crude Oil,0.1,m3
10/14/2010,Equipment Failure,Crude Oil Group Battery,Wainwright,Gas Production (Raw),0.1,103m3
1/2/2011,Equipment Failure,Crude Oil Group Battery,Wainwright,Salt/Produced Water,8,m3
12/11/2012,Equipment Failure,Crude Oil Group Battery,Wainwright,Crude Oil,0.1,m3
9/27/2003,Equipment Failure,Oil Well,WAINWRIGHT,Crude Oil,10,m3
3/23/2011,Equipment Failure,Natural Gas Pipeline,Wainwright,Gas Production (Marketable),0.1,103m3
3/11/2010,Equipment Failure,Oil Well,Wainwright,Waste,0,m3
1/22/2008,Equipment Failure,Oil Well,Wainwright,Gas Production (Raw),0.1,103m3
2/4/2013,Equipment Failure,Service Well,Wainwright,Salt/Produced Water,10,m3
1/31/2007,Equipment Failure,Oil Well,Wainwright,Salt/Produced Water,4,m3
8/4/2007,Operator Error,Crude Oil Group Battery,Wainwright,Crude Oil,4,m3
4/26/2007,Equipment Failure,Multiphase Pipeline,Wainwright,Fresh Water,0.1,m3
5/26/2011,Equipment Failure,Oil Well,Wainwright,Gas Production (Raw),0.1,103m3
6/4/2011,Equipment Failure,Water Pipeline,Wainwright,Waste,0,m3
11/28/2003,Equipment Failure,Multiphase Pipeline,WAINWRIGHT,Salt/Produced Water,2,m3
5/24/2009,Equipment Failure,Crude Oil Group Battery,Wainwright,Crude Oil,30,m3
6/10/2010,Equipment Failure,Crude Oil Group Battery,Wainwright,Waste,0,m3
7/28/2011,Equipment Failure,Multiphase Pipeline,Wainwright,Waste,0,m3
6/16/2003,Equipment Failure,Multiphase Pipeline,WAINWRIGHT,Salt/Produced Water,2,m3
10/1/2003,Equipment Failure,Water Pipeline,WAINWRIGHT,Gas Production (Raw),0.1,103m3
9/27/2010,Equipment Failure,Crude Oil Pipeline,Wainwright,Crude Oil,0.1,m3
7/19/2003,Equipment Failure,Oil Well,WAINWRIGHT,Crude Oil,0.2,m3
5/20/2009,Equipment Failure,Oil Well,Wainwright,Waste,0,m3
3/27/2004,Operator Error,Crude Oil Group Battery,WAINWRIGHT,Crude Oil,3.5,m3
4/8/2004,Equipment Failure,Other Pipeline,WAINWRIGHT,Gas Production (Marketable),0.1,103m3
5/16/2004,Operator Error,Crude Oil Group Battery,WAINWRIGHT,Crude Oil,10,m3
5/1/2005,Operator Error,Crude Oil Group Battery,Wainwright,Crude Oil,10,m3
2/7/2007,Operator Error,Crude Oil Group Battery,Wainwright,Salt/Produced Water,28.7,m3
2/8/2007,Equipment Failure,Crude Oil Group Battery,Wainwright,Gas Production (Raw),0.1,103m3
6/27/2007,Operator Error,Crude Oil Group Battery,Wainwright,Gas Production (Raw),0.5,103m3
4/24/2009,Equipment Failure,Crude Oil Group Battery,Wainwright,Gas Production (Raw),0.1,103m3
11/12/2010,Equipment Failure,Water Pipeline,Wainwright,Waste,0,m3
11/17/2010,Equipment Failure,Water Pipeline,Wainwright,Gas Production (Raw),0.1,103m3
8/24/2004,Equipment Failure,Oil Well,WAINWRIGHT,Crude Oil,3.5,m3
1/7/2004,Equipment Failure,Oil Well,WAINWRIGHT,Crude Oil,20,m3
11/19/2006,Equipment Failure,Multiphase Pipeline,Wainwright,Crude Oil,3,m3
7/30/2008,Equipment Failure,Multiphase Pipeline,Wainwright,Crude Oil,1,m3
5/7/2011,Equipment Failure,Oil/Bitumen Satellite,Wainwright,Gas Production (Raw),0.1,103m3
3/29/2009,Equipment Failure,Oil Well,Wainwright,Gas Production (Raw),0.1,103m3
2/12/2011,Equipment Failure,Oil Well,Wainwright,Crude Oil,0.2,m3
8/21/2007,Equipment Failure,Multiphase Pipeline,Wainwright,Gas Production (Raw),0.1,103m3
8/21/2007,Equipment Failure,Multiphase Pipeline,Wainwright,Crude Oil,1,m3
12/19/2007,Equipment Failure,Oil Well,Wainwright,Crude Oil,1,m3
5/25/2003,Equipment Failure,Unknown,WAINWRIGHT,Crude Oil,6,m3
6/1/2005,Equipment Failure,Water Pipeline,Wainwright,Salt/Produced Water,8,m3
12/5/2006,Operator Error,Crude Oil Group Battery,Wainwright,Gas Production (Raw),0.1,103m3
7/8/2007,Equipment Failure,Crude Oil Group Battery,Wainwright,Gas Production (Raw),0.5,103m3
9/17/2008,Equipment Failure,Crude Oil Group Battery,Wainwright,Waste,0,m3
11/30/2008,Equipment Failure,Crude Oil Group Battery,Wainwright,Crude Oil,4.5,m3
12/15/2008,Equipment Failure,Crude Oil Group Battery,Wainwright,Crude Oil,13,m3
10/4/2012,Equipment Failure,Crude Oil Group Battery,Wainwright,Crude Oil,6,m3
4/1/2007,Operator Error,Multiphase Pipeline,Wainwright,Salt/Produced Water,0.3,m3
1/4/2010,Operator Error,Service Well,Wainwright,Gas Production (Raw),0.1,103m3
6/14/2012,Equipment Failure,Multiphase Pipeline,Wainwright,Gas Production (Raw),0.1,103m3
1/14/2007,Equipment Failure,Oil Well,Wainwright,Gas Production (Raw),0.1,103m3
12/21/2004,Equipment Failure,Oil Well,Wainwright,Crude Oil,0.8,m3
1/16/2009,Equipment Failure,Crude Oil Group Battery,Wainwright,Salt/Produced Water,21,m3
11/17/2003,Equipment Failure,Gas Well,WAINWRIGHT,Crude Oil,4.5,m3
4/15/2006,Equipment Failure,Multiphase Pipeline,Wainwright,Fresh Water,0.1,m3
1/20/2005,Equipment Failure,Oil Well,Wainwright,Crude Oil,0.2,m3
1/15/2004,Equipment Failure,Multiphase Pipeline,WAINWRIGHT,Salt/Produced Water,142.5,m3
6/29/2005,Equipment Failure,Crude Oil Group Battery,Wainwright,Process Water,15,m3
7/15/2005,Equipment Failure,Multiphase Pipeline,Wainwright,Crude Oil,0.3,m3
2/21/2006,Equipment Failure,Crude Oil Group Battery,Wainwright,Salt/Produced Water,30,m3
12/8/2007,Equipment Failure,Crude Oil Group Battery,Wainwright,Salt/Produced Water,59,m3
7/16/2009,Equipment Failure,Crude Oil Group Battery,Wainwright,Gas Production (Raw),0.1,103m3
8/24/2008,Equipment Failure,Oil Well,Wainwright,Crude Oil,0.1,m3
10/18/2006,Operator Error,Crude Oil Pipeline,Wainwright,Crude Oil,155,m3
1/20/2013,Equipment Failure,Water Pipeline,Wainwright,Salt/Produced Water,0.1,m3
5/1/2007,Equipment Failure,Water Pipeline,Wainwright,Frac Water,0.1,m3
4/23/2012,Equipment Failure,Oil Well,Wainwright,Crude Oil,1.2,m3
12/29/2012,Equipment Failure,Service Well,Wainwright,Crude Oil,0.5,m3
5/25/2010,Equipment Failure,Oil Well,Wainwright,Gas Production (Raw),0.1,103m3
8/17/2005,Equipment Failure,Oil Well,Wainwright,Crude Oil,7,m3
7/14/2003,Equipment Failure,Oil Well,WAINWRIGHT,Salt/Produced Water,4.7,m3
8/11/2006,Equipment Failure,Water Pipeline,Wainwright,Salt/Produced Water,15,m3
10/9/2005,Equipment Failure,Water Pipeline,Wainwright,Salt/Produced Water,73,m3
11/17/2003,Equipment Failure,Suspended Well,WAINWRIGHT,Crude Oil,4,m3
6/16/2010,Operator Error,Service Well,Wainwright,Salt/Produced Water,50,m3
10/21/2006,Equipment Failure,Multiphase Pipeline,Wainwright,Fresh Water,1,m3
1/7/2013,Equipment Failure,Water Pipeline,Wainwright,Fresh Water,0,m3
8/11/2006,Equipment Failure,Multiphase Pipeline,Wainwright,Crude Oil,2,m3
11/23/2006,Operator Error,Multiphase Pipeline,Wainwright,Crude Oil,5,m3
7/17/2007,Equipment Failure,Multiphase Pipeline,Wainwright,Crude Oil,0.1,m3
6/21/2005,Operator Error,Suspended Well,Wainwright,Process Water,4,m3
3/5/2004,Equipment Failure,Multiphase Pipeline,WAINWRIGHT,Crude Oil,0.5,m3
6/4/2005,Equipment Failure,Multiphase Pipeline,Wainwright,Crude Oil,0.2,m3
1/23/2011,Equipment Failure,Service Well,Wainwright,Salt/Produced Water,4,m3
6/26/2009,Equipment Failure,Oil/Bitumen Satellite,Wainwright,Waste,0,m3
9/13/2003,Equipment Failure,Water Pipeline,WAINWRIGHT,Salt/Produced Water,0.1,m3
12/10/2005,Equipment Failure,Multiphase Pipeline,Wainwright,Crude Oil,0.5,m3
7/18/2005,Equipment Failure,Multiphase Pipeline,Wainwright,Gas Production (Raw),0.1,103m3
8/19/2006,Equipment Failure,Oil Well,Wainwright,Salt/Produced Water,1.9,m3
5/9/2010,Equipment Failure,Service Well,Wainwright,Crude Oil,0.1,m3
12/21/2008,Equipment Failure,Service Well,Wainwright,Fresh Water,0,m3
8/20/2004,Equipment Failure,Oil Well,WAINWRIGHT,Crude Oil,0.5,m3
1/30/2007,Equipment Failure,Water Pipeline,Wainwright,Salt/Produced Water,0.1,m3
7/16/2005,Equipment Failure,Service Well,Wainwright,Salt/Produced Water,4,m3
12/18/2005,Equipment Failure,Service Well,Wainwright,Salt/Produced Water,15,m3
3/1/2007,Equipment Failure,Service Well,Wainwright,Gas Production (Raw),0.1,103m3
10/22/2007,Equipment Failure,Water Pipeline,Wainwright,Fresh Water,8,m3
4/23/2007,Equipment Failure,Water Pipeline,Wainwright,Salt/Produced Water,2,m3
1/3/2005,Equipment Failure,Crude Oil Group Battery,Wainwright,Gas Production (Raw),0.1,103m3
1/6/2006,Equipment Failure,Crude Oil Pipeline,Wainwright,Crude Oil,3.5,m3
2/15/2006,Equipment Failure,Crude Oil Group Battery,Wainwright,Salt/Produced Water,30,m3
11/27/2007,Equipment Failure,Crude Oil Group Battery,Wainwright,Salt/Produced Water,1,m3
2/10/2008,Equipment Failure,Crude Oil Group Battery,Wainwright,Salt/Produced Water,2.5,m3
4/23/2012,Equipment Failure,Crude Oil Group Battery,Wainwright,Crude Bitumen,3,m3
12/2/2004,Equipment Failure,Crude Oil Pipeline,Wainwright,Crude Oil,2.5,m3
7/18/2008,Operator Error,Crude Oil Pipeline,Wainwright,Crude Oil,75,m3
1/11/2009,Operator Error,Other Pipeline,Wainwright,Waste,0,m3
7/22/2006,Operator Error,Gas Plant Fraction. Sweet,Wainwright,Gas Production (Marketable),0.1,103m3
10/27/2003,Operator Error,Unknown,WAINWRIGHT,Crude Oil,4,m3
8/11/2003,Equipment Failure,Crude Oil Pipeline,WAINWRIGHT,Crude Oil,15,m3
December 13 2011,Equipment Failure,,Wainwright,Waste,0,m3
1/3/2013,Equipment Failure,Service Well,Wainwright,Salt/Produced Water,100,m3
11/27/2005,Operator Error,Gas Well,Wainwright,Salt/Produced Water,0.2,m3
7/20/2011,Equipment Failure,Oil Well,Wainwright,Salt/Produced Water,0.2,m3
3/9/2009,Equipment Failure,Crude Oil Group Battery,Wainwright,Crude Oil,0.5,m3
10/16/2004,Equipment Failure,Crude Oil Group Battery,Wainwright,Oily Sludge,30,m3
8/4/2004,Equipment Failure,Gas Well,WAINWRIGHT,Salt/Produced Water,0,m3
4/23/2004,Operator Error,Gas Plnt Acid Gas Flr/Inj,WAINWRIGHT,Crude Oil,0.2,m3
3/1/2008,Operator Error,Multiphase Pipeline,Wainwright,Waste,0,m3
11/23/2011,Equipment Failure,Natural Gas Pipeline,Wainwright,Crude Oil,0.1,m3
11/25/2012,Equipment Failure,Water Pipeline,Wainwright,Salt/Produced Water,53,m3
3/7/2003,Equipment Failure,Multiphase Pipeline,WAINWRIGHT,Crude Oil,0.1,m3
8/17/2004,Equipment Failure,Water Pipeline,WAINWRIGHT,Salt/Produced Water,20,m3
1/26/2008,Equipment Failure,Multiphase Pipeline,Wainwright,Crude Oil,6,m3
5/19/2012,Operator Error,Oil Well,Wainwright,Salt/Produced Water,0.1,m3
9/10/2003,Equipment Failure,Multiphase Pipeline,WAINWRIGHT,Crude Oil,0.7,m3
7/1/2003,Equipment Failure,Multiphase Pipeline,WAINWRIGHT,Crude Oil,1,m3
5/6/2003,Equipment Failure,Crude Oil Group Battery,WAINWRIGHT,Salt/Produced Water,6,m3
12/27/2008,Equipment Failure,Water Pipeline,Wainwright,Waste,0,m3
1/27/2005,Equipment Failure,Multiphase Pipeline,Wainwright,Crude Oil,1,m3
3/1/2004,Equipment Failure,Oil/Bitumen Satellite,WAINWRIGHT,Salt/Produced Water,4,m3
2/7/2005,Equipment Failure,Natural Gas Pipeline,Wainwright,Gas Production (Raw),0.1,103m3
9/21/2004,Equipment Failure,Natural Gas Pipeline,Red Deer,Fresh Water,0.1,m3
7/19/2009,Equipment Failure,Gas Well,Red Deer,Process Water,8,m3
11/28/2006,Equipment Failure,Drilling Well,Red Deer,Drilling Mud  (Water Based),1,m3
7/7/2007,Operator Error,Suspended Well,Red Deer,Frac Oil,0.1,m3
1/20/2008,Equipment Failure,Suspended Well,Red Deer,Gas Production (Raw),45,103m3
11/18/2005,Equipment Failure,Natural Gas Pipeline,Red Deer,Air,0.1,103m3
4/9/2007,Equipment Failure,Gas Well,Red Deer,Salt/Produced Water,2.5,m3
4/30/2010,Equipment Failure,Natural Gas Pipeline,Red Deer,Gas Production (Raw),0.1,103m3
6/14/2010,Equipment Failure,Natural Gas Pipeline,Red Deer,Gas Production (Raw),0.1,103m3
6/14/2010,Equipment Failure,Natural Gas Pipeline,Red Deer,Gas Production (Raw),0.1,103m3
3/30/2004,Equipment Failure,Gas Proration Effluent Ba,Red Deer,Crude Oil,1,m3
4/30/2010,Equipment Failure,Natural Gas Pipeline,Red Deer,Gas Production (Raw),0.1,103m3
12/23/2004,Equipment Failure,Natural Gas Pipeline,Red Deer,Gas Production (Raw),0.1,103m3
9/29/2003,Equipment Failure,Natural Gas Pipeline,RED DEER,Gas Production (Raw),1,103m3
7/14/2010,Equipment Failure,Natural Gas Pipeline,Red Deer,Gas Production (Raw),0.1,103m3
7/28/2003,Equipment Failure,Oil Well,RED DEER,Crude Oil,0.1,m3
10/9/2003,Equipment Failure,Oil Well,RED DEER,Salt/Produced Water,21.4,m3
12/28/2004,Equipment Failure,Oil Well,Red Deer,Crude Oil,2,m3
5/26/2003,Equipment Failure,Oil Well,RED DEER,Crude Oil,0.5,m3
7/17/2003,Equipment Failure,Oil Well,RED DEER,Emulsifiers,3.5,m3
12/19/2003,Equipment Failure,Oil Well,RED DEER,Acid Gas,1,103m3
7/2/2011,Operator Error,Multiphase Pipeline,Red Deer,Crude Oil,2,m3
7/2/2011,Equipment Failure,Multiphase Pipeline,Red Deer,Fresh Water,2,m3
2/1/2009,Equipment Failure,Multiphase Pipeline,Red Deer,Waste,0,m3
9/5/2005,Equipment Failure,Service Well,Red Deer,Process Water,4,m3
11/2/2009,Equipment Failure,Oil Well,Red Deer,Crude Oil,0.1,m3
10/25/2012,Equipment Failure,Multiphase Pipeline,Red Deer,Fresh Water,1,m3
February 21 2010,Operator Error,Natural Gas Pipeline,Red Deer,,,
11/3/2009,Equipment Failure,Oil Well,Red Deer,Gas Production (Raw),0.1,103m3
12/19/2005,Equipment Failure,Natural Gas Pipeline,Red Deer,Air,0.1,103m3
12/15/2005,Equipment Failure,Natural Gas Pipeline,Red Deer,Gas Production (Marketable),0.1,103m3
2/9/2009,Equipment Failure,Gas Plant Sweet,Red Deer,Crude Oil,2,m3
9/17/2004,Equipment Failure,Crude Oil Group Battery,RED DEER,Crude Oil,6,m3
10/2/2011,Equipment Failure,Natural Gas Pipeline,Red Deer,Gas Production (Raw),0.5,103m3
3/15/2010,Equipment Failure,Other Pipeline,Red Deer,Gasoline,0.1,m3
3/28/2005,Equipment Failure,Drilling Well,Red Deer,Crude Oil,1,m3
7/12/2005,Equipment Failure,Oil Well,Red Deer,Crude Oil,0.1,m3
3/12/2004,Equipment Failure,Sour Gas Pipeline,RED DEER,Glycol,27,m3
6/17/2002,Equipment Failure,Suspended Well,Red Deer,Gas Production (Raw),10,103m3
1/4/2011,Equipment Failure,Service Well,Red Deer,Salt/Produced Water,1.8,m3
11/19/2003,Operator Error,Tank Farm / Oil Terminals,RED DEER,Gas Production (Raw),0.1,103m3
2/14/2004,Equipment Failure,Tank Farm / Oil Terminals,RED DEER,Gas Production (Raw),0.1,103m3
8/1/2005,Operator Error,Gas Plant Sweet,Red Deer,Crude Oil,16,m3
2/4/2004,Equipment Failure,Sour Gas Pipeline,RED DEER,Gas Production (Raw),0.1,103m3
1/7/2012,Equipment Failure,Oil Well,Red Deer,Waste,81.7,m3
10/19/2008,Operator Error,Oil Well,Red Deer,Salt/Produced Water,12,m3
3/4/2004,Equipment Failure,Sour Gas Pipeline,RED DEER,Glycol,2,m3
11/7/2007,Equipment Failure,Gas Well,Red Deer,Waste,0,m3
11/9/2007,Equipment Failure,Gas Plant Sweet,Red Deer,Condensate,0.1,m3
12/2/2009,Operator Error,Drilling Well,Red Deer,Gas Production (Raw),0.1,103m3
8/9/2011,Operator Error,Drilling Well,Red Deer,Drilling Mud (HC Based),1.5,m3
5/1/2009,Operator Error,Gas Well,Red Deer,Condensate,1,m3
March 27 2009,Operator Error,Drilling Well,Red Deer,,,
12/8/2009,Equipment Failure,Suspended Well,Red Deer,Drilling Mud  (Water Based),20,m3
2/12/2004,Equipment Failure,Suspended Well,RED DEER,Crude Oil,12,m3
3/13/2008,Equipment Failure,Oil Well,Red Deer,Crude Oil,2.7,m3
11/4/2008,Equipment Failure,Oil Well,Red Deer,Crude Oil,6,m3
1/16/2007,Equipment Failure,Oil Well,Red Deer,Air,0.1,103m3
5/14/2009,Equipment Failure,Gas Well,Red Deer,Condensate,5.5,m3
5/10/2006,Equipment Failure,Multiphase Pipeline,Red Deer,Crude Oil,0.1,m3
5/14/2011,Operator Error,Oil Well,Red Deer,Crude Oil,0.1,m3
1/4/2012,Operator Error,Crude Oil Group Battery,Red Deer,Crude Oil,9.6,m3
3/21/2012,Equipment Failure,Crude Oil Group Battery,Red Deer,Gas Production (Raw),0.1,103m3
4/9/2009,Equipment Failure,Oil Well,Red Deer,Gas Production (Raw),10,103m3
12/1/2012,Equipment Failure,Compressor Station,Red Deer,Crude Oil,0.1,m3
2/8/2005,Equipment Failure,Gas Plnt Acid Gas Flr/Inj,Red Deer,Fresh Water,68,m3
1/11/2009,Equipment Failure,Gas Well,Red Deer,Crude Oil,8,m3
8/31/2011,Equipment Failure,Water Pipeline,Red Deer,Waste,0,m3
3/20/2008,Equipment Failure,Crude Oil Group Battery,Red Deer,Crude Oil,18,m3
4/27/2009,Operator Error,Oil Well,Red Deer,Crude Oil,27,m3
5/13/2010,Equipment Failure,Water Pipeline,Red Deer,Fresh Water,60,m3
4/12/2004,Equipment Failure,Oil Well,RED DEER,Crude Oil,1,m3
11/10/2003,Equipment Failure,Water Pipeline,RED DEER,Fresh Water,5,m3
12/12/2003,Equipment Failure,Water Pipeline,RED DEER,Fresh Water,10,m3
January 24 2006,Operator Error,Multiphase Pipeline,Red Deer,,,
7/11/2008,Equipment Failure,Suspended Well,Red Deer,Crude Oil,2,m3
3/17/2005,Equipment Failure,Water Pipeline,Red Deer,Salt/Produced Water,0.5,m3
1/16/2006,Equipment Failure,Water Pipeline,Red Deer,Gas Production (Raw),10,103m3
3/18/2010,Equipment Failure,Crude Oil Group Battery,Red Deer,Fresh Water,25,m3
5/1/2007,Equipment Failure,Crude Oil Pipeline,Red Deer,Crude Oil,0.3,m3
4/16/2012,Equipment Failure,Water Pipeline,Red Deer,Crude Oil,1.7,m3
8/27/2012,Equipment Failure,Water Pipeline,Red Deer,Fresh Water,0.1,m3
6/10/2010,Equipment Failure,Water Pipeline,Red Deer,Fresh Water,0.1,m3
7/30/2011,Operator Error,Crude Oil Group Battery,Red Deer,Crude Oil,26,m3
3/12/2009,Equipment Failure,Service Well,Red Deer,Fresh Water,3,m3
11/10/2009,Equipment Failure,Oil Well,Red Deer,Crude Oil,0.5,m3
2/21/2003,Operator Error,Crude Oil Group Battery,RED DEER,Crude Oil,7,m3
2/2/2004,Operator Error,Oil Well,RED DEER,Crude Oil,2.2,m3
4/29/2003,Operator Error,Oil Well,RED DEER,Crude Oil,4,m3
4/20/2004,Equipment Failure,Water Pipeline,RED DEER,Fresh Water,10,m3
8/27/2003,Equipment Failure,Water Pipeline,RED DEER,Salt/Produced Water,1,m3
3/5/2010,Equipment Failure,Water Pipeline,Red Deer,Waste,0,m3
2/5/2008,Equipment Failure,Water Pipeline,Red Deer,Fresh Water,10,m3
10/21/2008,Equipment Failure,Water Pipeline,Red Deer,Fresh Water,18,m3
11/13/2007,Equipment Failure,Water Pipeline,Red Deer,Fresh Water,20,m3
1/28/2012,Equipment Failure,Water Pipeline,Red Deer,Process Water,0.5,m3
7/11/2011,Equipment Failure,Water Pipeline,Red Deer,Fresh Water,1,m3
12/9/2006,Equipment Failure,Service Well,Red Deer,Salt/Produced Water,5,m3
4/8/2007,Equipment Failure,Service Well,Red Deer,Gas Production (Raw),1,103m3
8/2/2004,Equipment Failure,Suspended Well,RED DEER,Crude Oil,1,m3
6/10/2010,Equipment Failure,Crude Oil Pipeline,Red Deer,Fresh Water,16,m3
9/12/2012,Operator Error,Drilling Well,Red Deer,Drilling Mud (HC Based),4,m3
3/28/2008,Equipment Failure,Water Pipeline,Red Deer,Fresh Water,1,m3
7/2/2011,Operator Error,Drilling Well,Red Deer,Chemicals,14,m3
8/26/2011,Equipment Failure,Oil Well,Red Deer,Crude Oil,38.9,m3
12/17/2006,Equipment Failure,Natural Gas Pipeline,Red Deer,Gas Production (Marketable),0.1,103m3
3/15/2007,Operator Error,Multiphase Pipeline,Red Deer,Crude Oil,0.2,m3
12/8/2003,Equipment Failure,Water Pipeline,RED DEER,Fresh Water,2,m3
12/9/2004,Equipment Failure,Water Pipeline,Red Deer,Salt/Produced Water,20,m3
1/9/2005,Equipment Failure,Water Pipeline,Red Deer,Salt/Produced Water,10,m3
12/6/2006,Equipment Failure,Crude Oil Group Battery,Red Deer,Waste,0,m3
1/16/2007,Equipment Failure,Natural Gas Pipeline,Red Deer,Gas Production (Raw),0.1,103m3
11/28/2003,Equipment Failure,Water Pipeline,RED DEER,Fresh Water,2,m3
1/26/2005,Equipment Failure,Water Pipeline,Red Deer,Salt/Produced Water,5.5,m3
6/27/2005,Equipment Failure,Crude Oil Group Battery,Red Deer,Crude Oil,26,m3
9/1/2007,Equipment Failure,Natural Gas Pipeline,Red Deer,Crude Oil,1,m3
9/7/2007,Equipment Failure,Multiphase Pipeline,Red Deer,Salt/Produced Water,1,m3
7/27/2007,Equipment Failure,Oil Well,Red Deer,Crude Oil,4,m3
5/17/2008,Operator Error,Crude Oil Group Battery,Red Deer,Crude Oil,5.6,m3
2/22/2012,Equipment Failure,Service Well,Red Deer,Waste,0,m3
1/6/2012,Operator Error,Multiphase Pipeline,Red Deer,Condensate,0.2,m3
2/17/2005,Operator Error,Drilling Well,Red Deer,Drilling Mud (HC Based),3,m3
3/17/2006,Operator Error,Suspended Well,Red Deer,Frac Oil,5,m3
11/2/2011,Equipment Failure,Oil/Bitumen Satellite,Red Deer,Synthetic Crude Oil,0,m3
November 04 2011,Operator Error,Multiphase Pipeline,Red Deer,,,
10/28/2012,Equipment Failure,Oil Well,Red Deer,Crude Oil,0.1,m3
9/16/2005,Equipment Failure,Gas Well,Red Deer,Gas Production (Raw),103.5,103m3
2/21/2007,Equipment Failure,Natural Gas Pipeline,Red Deer,Fresh Water,2380,m3
4/10/2008,Operator Error,Sour Gas Pipeline,Red Deer,Gas Production (Raw),4,103m3
12/18/2012,Operator Error,Drilling Well,Red Deer,Drilling Mud  (Water Based),25,m3
9/11/2003,Operator Error,Sweet Drilling Well,RED DEER,Drilling Mud (HC Based),54,m3
9/12/2003,Equipment Failure,Sweet Drilling Well,RED DEER,Drilling Mud (HC Based),0.1,m3
5/11/2005,Equipment Failure,Drilling Well,Red Deer,Drilling Mud (HC Based),2.5,m3
12/18/2009,Equipment Failure,Oil Well,Red Deer,Crude Oil,0.1,m3
1/7/2007,Equipment Failure,Oil Well,Red Deer,Crude Oil,2.5,m3
12/6/2010,Operator Error,Oil Well,Red Deer,Crude Oil,0.8,m3
3/19/2006,Equipment Failure,Gas Proration Effluent Ba,Red Deer,Crude Oil,20,m3
5/27/2007,Equipment Failure,Gas Proration Effluent Ba,Red Deer,Gas Production (Raw),0.1,103m3
1/14/2010,Equipment Failure,Oil Well,Red Deer,Crude Oil,0.1,m3
2/14/2005,Equipment Failure,Drilling Well,Red Deer,Liquid Petroleum Gas,12,m3
8/10/2005,Equipment Failure,Gas Well,Red Deer,Diesel Oil,0.4,m3
2/5/2011,Equipment Failure,Oil/Bitumen Satellite,Wainwright,Fresh Water,1,m3
12/21/2008,Equipment Failure,Multiphase Pipeline,Wainwright,Waste,0,m3
10/10/2007,Equipment Failure,Oil Well,Wainwright,Crude Oil,0.1,m3
6/16/2007,Equipment Failure,Oil Well,Wainwright,Salt/Produced Water,7.2,m3
4/28/2010,Equipment Failure,Water Pipeline,Wainwright,Fresh Water,0.5,m3
3/17/2006,Equipment Failure,Oil Well,Wainwright,Crude Oil,0.4,m3
2/17/2008,Equipment Failure,Water Pipeline,Wainwright,Salt/Produced Water,0.1,m3
10/21/2010,Operator Error,Oil Well,Wainwright,Gas Production (Raw),0.1,103m3
6/18/2004,Equipment Failure,Crude Oil Single Battery,WAINWRIGHT,Crude Oil,2.5,m3
5/13/2009,Operator Error,Water Pipeline,Wainwright,Salt/Produced Water,0.1,m3
5/15/2009,Equipment Failure,Water Pipeline,Wainwright,Fresh Water,0.1,m3
7/21/2003,Equipment Failure,Water Pipeline,WAINWRIGHT,Salt/Produced Water,1,m3
12/15/2008,Equipment Failure,Multiphase Pipeline,Wainwright,Crude Oil,0.1,m3
5/13/2006,Operator Error,Crude Oil Group Battery,Wainwright,Gas Production (Raw),0.1,103m3
5/14/2007,Equipment Failure,Water Pipeline,Wainwright,Salt/Produced Water,1,m3
